GenusSpecies,ConGenus,ConFamily,ConOrder,ConClass,ConPhylum,Superkingdom,GrowthRate,RateUnit,OptimumTemp,TempUnit,AverageVolume,VolumeUnit,Sources,Notes
Hydrogenophilus islandicus,Hydrogenophilus,Hydrogenophilaceae,Hydrogenophilales,Hydrogenophilalia,Proteobacteria,Bacteria,1.32E-06,s^-1,55,Celsius,3.10E-19,m^3,"corkrey, engqvist, fierer, gold","166, 555, 2060, 12331"
Hydrogenovibrio thermophilus,Hydrogenovibrio,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria,4.72E-05,s^-1,37.5,Celsius,2.30E-19,m^3,"bacdive-microa, corkrey, engqvist, fierer, gold","1, 409, 555, 4224, 12331"
Hymenomonas carterae,Hymenomonas,Pleurochrysidaceae,Coccolithales,Coccolithophyceae,Haptophyta,Phytoplankton,3.91E-06,s^-1,19,Celsius,7.35E-16,m^3,"Olenina, I., Hajdu, S., Edler, L., Andersson, A., Wasmund, N., Busch, S., Göbel, J., Gromisz, S., Huseby, S., Huttunen, M., Jaanus, A., Kokkonen, P., Ledaine, I. and Niemkiewicz, E. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HEL",
Ignicoccus hospitalis,Ignicoccus,Desulfurococcaceae,Desulfurococcales,Thermoprotei,Crenarchaeota,Archaea,1.76E-06,s^-1,90,Celsius,4.49E-17,m^3,"corkrey, engqvist, fierer, genbank, gold, jemma-refseq, kegg, patric, protraits, rrndb, silva","274, 555, 2080, 4808, 12331, 13083, 14626, 18707, 18718, 18723, 18872"
Isochrysis galbana,Isochrysis,Isochrysidaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Phytoplankton,2.27E-05,s^-1,25,Celsius,5.90E-17,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Isosphaera pallida,Isosphaera,Planctomycetaceae,Planctomycetales,Planctomycea,Planctomycetes,Bacteria,1.10E-05,s^-1,40.5327,Celsius,1.12E-17,m^3,https://link.springer.com/article/10.1007/BF00463488,
Klebsiella oxytoca,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria,0.00098619,s^-1,37.01,Celsius,2.24E-18,m^3,http://www.vetbact.org/index.php?artid=156,
Kosmotoga olearia,Kosmotoga,Kosmotogaceae,Kosmotogales,Thermotogae,Thermotogae,Bacteria,4.95E-06,s^-1,65,Celsius,1.94E-19,m^3,"corkrey, engqvist, fierer, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb","63, 555, 2173, 5014, 12331, 13113, 14953, 18701, 18707, 18718, 18723"
Kosmotoga shengliensis,Kosmotoga,Kosmotogaceae,Kosmotogales,Thermotogae,Thermotogae,Bacteria,4.86E-06,s^-1,65,Celsius,5.88E-19,m^3,"corkrey, engqvist, fierer, gold","11, 555, 4189, 12331"
Lactobacillus acidophilus,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,0.00015302,s^-1,42.0329,Celsius,2.00E-18,m^3,https://books.google.co.uk/books?id=0-VqgLiCPFcC&pg=PA500&dq=Lactobacillus+acidophilus+cell+diameter&hl=en&sa=X&ved=0ahUKEwjr5JO5t4rbAhUSe8AKHc_xDKoQ6AEITzAI#v=snippet&q=L.acidophilus%20&f=false,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.491"
Lactobacillus casei,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,0.000127889,s^-1,36,Celsius,1.72E-18,m^3,"campedelli, engqvist, genbank, gold, kegg, masonmm, microbe-directory, patric, protraits, rrndb, bergeys","2, 555, 4485, 7859, 8023, 8625, 8770, 9079, 9210, 9405, 9519, 9659, 9761, 12331, 14762, 15204, 15849, 15850, 16209, 16584, 17391, 18545, 18701, 18707, 18718, 18723"
Lactobacillus delbrueckii,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,0.00029863,s^-1,45.0025,Celsius,2.37E-18,m^3,https://hal.archives-ouvertes.fr/hal-00929612/document,pg.499
Lactobacillus ingluviei,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,4.99E-05,s^-1,39,Celsius,2.62E-18,m^3,"bacdive-microa, campedelli, corkrey, engqvist, gold, microbe-directory, pasteur, bergeys","1, 2, 359, 555, 12331, 18701"
Lactobacillus johnsonii,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,0.000137825,s^-1,32.333,Celsius,4.25E-18,m^3,"bacdive-microa, campedelli, engqvist, genbank, gold, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","1, 2, 555, 4952, 7663, 8158, 8517, 8848, 9008, 9355, 9567, 10693, 12331, 14208, 15055, 15854, 16765, 18701, 18707, 18718, 18723, 18874"
Lactobacillus paracasei,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,8.35E-05,s^-1,34.0105,Celsius,1.88E-18,m^3,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.504",pg.504
Lactobacillus plantarum,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,6.42E-05,s^-1,36.02,Celsius,4.46E-18,m^3,"bacdive-microa, campedelli, engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","1, 2, 555, 4676, 7740, 8108, 8554, 8815, 9034, 9247, 9372, 9549, 9633, 9785, 9841, 9963, 10002, 10118, 10148, 10245, 10272, 10356, 10379, 10465, 10531, 10546, 10610, 10622, 10685, 10696, 10748, 10760, 10812, 10823, 10921, 10962, 10972, 10007, 11015, 11047, 5426, 11084, 11091, 11122, 11129, 11164, 11169, 11199, 11204, 11236, 11240, 11268, 11273, 11298, 11304, 11328, 11331, 11349, 11352, 11992, 12331, 13146, 14165, 14985, 15247, 16325, 16527, 16553, 17405, 18560, 18701, 18707, 18718, 18723, 18875"
Lactobacillus rhamnosus,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,0.00024465,s^-1,45.0843,Celsius,1.88E-18,m^3,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,pg.507
Lactococcus lactis,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,0.00032237,s^-1,35.9858,Celsius,2.95E-19,m^3,Size:https://hal.archives-ouvertes.fr/hal-00929612/document; Mass:http://www.pnas.org/content/105/44/16994,
Lactococcus piscium,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,0.00018337,s^-1,24.9851,Celsius,2.95E-19,m^3,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jam.13179,pg.245
Lebetimonas acidiphila,Lebetimonas,Nautiliaceae,Nautiliales,Epsilonproteobacteria,Proteobacteria,Bacteria,1.13E-05,s^-1,50,Celsius,6.80E-19,m^3,"corkrey, engqvist, fierer, gold","212, 555, 2274, 12331"
Leonella granifera,Leonella,Dinophyceae incertae sedis,Dinophyceae incertae sedis,Dinophyceae,,Phytoplankton,4.63E-06,s^-1,28,Celsius,5.24E-16,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Leptolinea tardivitalis,Leptolinea,Anaerolineaceae,Anaerolineales,Anaerolineae,Chloroflexi,Bacteria,1.19E-06,s^-1,37,Celsius,4.19E-18,m^3,"corkrey, engqvist, fierer, patric","216, 555, 817, 18707"
Levilinea saccharolytica,Levilinea,Anaerolineaceae,Anaerolineales,Anaerolineae,Chloroflexi,Bacteria,9.54E-07,s^-1,37,Celsius,2.12E-17,m^3,"corkrey, engqvist, fierer, gold, patric","216, 555, 817, 12331, 18707"
Limnothrix redekei,Limnothrix,Oscillatoriaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,1.53E-05,s^-1,25,Celsius,3.50E-17,m^3,,
Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria,0.00044827,s^-1,35.45,Celsius,2.03E-19,m^3,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,pg.245
Litorilinea aerophila,Litorilinea,Caldilineaceae,Caldilineales,Caldilineae,Chloroflexi,Bacteria,3.40E-06,s^-1,55,Celsius,1.96E-17,m^3,"corkrey, engqvist, fierer, gold","219, 555, 2350, 12331"
Mahella australiensis,Mahella,Thermoanaerobacterales Family IV. Incertae Sedis,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,2.19E-06,s^-1,50,Celsius,2.23E-18,m^3,"corkrey, engqvist, fierer, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, rrndb","191, 555, 2420, 5244, 12331, 13199, 15410, 18701, 18707, 18723"
Marinilactibacillus piezotolerans,Marinilactibacillus,Carnobacteriaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,9.37E-07,s^-1,38.5,Celsius,1.65E-19,m^3,"corkrey, engqvist, fierer, gold, pasteur","534, 555, 2450, 12331"
Marinithermus hydrothermalis,Marinithermus,Thermaceae,Thermales,Deinococci,Deinococcus-Thermus,Bacteria,0.00051702,s^-1,67.4079,Celsius,5.85E-18,m^3,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/53/1/59.pdf?expires=1526922495&id=id&accname=guest&checksum=E4691D32D2EA9A09BB04138504F6D456,
Marinitoga hydrogenitolerans,Marinitoga,NA,Petrotogales,Thermotogae,Thermotogae,Bacteria,6.44E-06,s^-1,60,Celsius,3.68E-19,m^3,"corkrey, engqvist, fierer, gold","59, 555, 2456, 12331"
Marinitoga litoralis,Marinitoga,NA,Petrotogales,Thermotogae,Thermotogae,Bacteria,8.36E-06,s^-1,60,Celsius,8.91E-19,m^3,"corkrey, engqvist, fierer, gold","60, 555, 2457, 12331"
Marinitoga piezophila,Marinitoga,Thermotogaceae,Thermotogales,Thermotogae,Thermotogae,Bacteria,0.00052883,s^-1,65.0015,Celsius,2.13E-19,m^3,https://www.ncbi.nlm.nih.gov/pubmed/12148648,
Marinobacter alkaliphilus,Marinobacter,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,0.00025953,s^-1,35.0882,Celsius,1.26E-18,m^3,https://www.researchgate.net/publication/8388977_Marinobacter_alkaliphilus_sp_nov_a_novel_alkaliphilic_bacterium_isolated_from_subseafloor_alkaline_serpentine_mud_from_Ocean_Drilling_Program_Site_1200_at_South_Chamorro_Seamount_Mariana_Forearc,
Mastigocladus laminosus,Mastigocladus,Hapalosiphonaceae,Nostocales,Cyanophyceae,Cyanophyta,Bacteria,8.59E-06,s^-1,44,Celsius,2.29E-17,m^3,https://academic.oup.com/femsle/article/364/15/fnx154/3983256,
Meiothermus chliarophilus,Meiothermus,Thermaceae,Thermales,Deinococci,Deinococcus-Thermus,Bacteria,0.00012982,s^-1,49.9541,Celsius,2.60E-18,m^3,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1574-6968.2002.tb11445.x,Length is variable Cell length based from Meiothermus hypogaeus https://bacdive.dsmz.de/strain/16711
Mesoaciditoga lauensis,Mesoaciditoga,Mesoaciditogaceae,Mesoaciditogales,Thermotogae,Thermotogae,Bacteria,4.45E-06,s^-1,58.5,Celsius,1.19E-19,m^3,"corkrey, engqvist, fierer, gold","12, 555, 2536, 12331"
Mesotaenium kramstae,Mesotaenium,Mesotaeniaceae,Zygnematales,Zygnematophyceae,Streptophyta,Phytoplankton,7.29E-06,s^-1,24,Celsius,4.45E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Methanimicrococcus blatticola,Methanimicrococcus,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,1.66E-05,s^-1,39,Celsius,5.36E-19,m^3,"corkrey, engqvist, gold, methanogen","436, 555, 12331, 18656"
Methanobacterium alcaliphilum,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,5.81E-06,s^-1,37,Celsius,3.16E-18,m^3,"engqvist, gold, methanogen","555, 12331, 18562"
Methanobacterium arcticum,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,2.23E-06,s^-1,37,Celsius,8.58E-19,m^3,"engqvist, fierer, gold, methanogen","555, 2557, 12331, 18563"
Methanobacterium beijingense,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,4.20E-06,s^-1,37,Celsius,6.12E-19,m^3,"corkrey, engqvist, gold, methanogen","332, 555, 12331, 18564"
Methanobacterium bryantii,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,2.87E-06,s^-1,38,Celsius,5.41E-18,m^3,"engqvist, gold, methanogen, patric","555, 12331, 18565, 18707"
Methanobacterium congolense,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,6.64E-06,s^-1,39.5,Celsius,9.30E-19,m^3,"corkrey, engqvist, genbank, gold, methanogen, rrndb","206, 555, 6735, 12331, 18566, 18723"
Methanobacterium espanolae,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,3.61E-06,s^-1,35,Celsius,2.88E-18,m^3,"corkrey, engqvist, gold, methanogen","423, 555, 12331, 18567"
Methanobacterium ferruginis,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,2.60E-06,s^-1,40,Celsius,2.17E-19,m^3,"corkrey, engqvist, fierer, gold, methanogen","170, 555, 2558, 12331, 18568"
Methanobacterium flexile,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,2.99E-06,s^-1,36.5,Celsius,5.86E-19,m^3,"corkrey, engqvist, gold, methanogen","260, 555, 12331, 18569"
Methanobacterium kanagiense,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,2.39E-06,s^-1,40,Celsius,4.48E-19,m^3,"corkrey, engqvist, gold, methanogen","351, 555, 12331, 18572"
Methanobacterium lacus,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,4.38E-06,s^-1,30,Celsius,7.09E-19,m^3,"engqvist, fierer, genbank, gold, jemma-refseq, kegg, methanogen, protraits, rrndb","555, 2559, 6242, 12331, 13231, 15353, 18573, 18718, 18723"
Methanobacterium movens,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,2.47E-06,s^-1,36.5,Celsius,5.33E-19,m^3,"corkrey, engqvist, gold, methanogen","260, 555, 12331, 18569"
Methanobacterium movilense,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,9.87E-07,s^-1,33,Celsius,1.17E-18,m^3,"engqvist, methanogen","555, 18574"
Methanobacterium palustre,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,5.04E-06,s^-1,35,Celsius,7.04E-19,m^3,"corkrey, engqvist, gold, methanogen","444, 555, 12331, 18576"
Methanobacterium petrolearium,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,1.72E-06,s^-1,35,Celsius,2.64E-19,m^3,"corkrey, engqvist, fierer, gold, methanogen","170, 555, 2558, 12331, 18568"
Methanobacterium subterraneum,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,3.61E-05,s^-1,39.931,Celsius,4.26E-19,m^3,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.234
Methanobacterium thermaggregans,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,2.34E-06,s^-1,65,Celsius,7.37E-19,m^3,"corkrey, engqvist, gold, methanogen","414, 555, 12331, 18578"
Methanobacterium veterum,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,3.66E-06,s^-1,28,Celsius,7.53E-19,m^3,"corkrey, engqvist, fierer, gold, methanogen","408, 555, 2560, 12331, 18580"
Methanobrevibacter acididurans,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,4.13E-06,s^-1,35,Celsius,6.70E-20,m^3,"gold, methanogen","12331, 18581"
Methanobrevibacter arboriphilus,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,5.81E-06,s^-1,33.5,Celsius,7.07E-19,m^3,"engqvist, gold, methanogen","555, 12331, 18582"
Methanobrevibacter curvatus,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,2.41E-06,s^-1,30,Celsius,1.35E-19,m^3,"engqvist, gold, methanogen","555, 12331, 18584"
Methanobrevibacter cuticularis,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,1.69E-06,s^-1,37,Celsius,1.34E-19,m^3,"engqvist, gold, methanogen","555, 12331, 18584"
Methanobrevibacter filiformis,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,2.60E-06,s^-1,30,Celsius,1.63E-19,m^3,"engqvist, gold, methanogen","555, 12331, 18585"
Methanobrevibacter oralis,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,4.23E-06,s^-1,37.25,Celsius,1.27E-19,m^3,"engqvist, gold, methanogen","555, 12331, 18588"
Methanocalculus chunghsingensis,Methanocalculus,Methanocalculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,1.80E-06,s^-1,37,Celsius,2.30E-18,m^3,"engqvist, gold, methanogen","555, 12331, 18590"
Methanocalculus halotolerans,Methanocalculus,Methanocalculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,5.38E-06,s^-1,38,Celsius,1.05E-18,m^3,"corkrey, engqvist, gold, methanogen","468, 555, 12331, 18591"
Methanocalculus pumilus,Methanocalculus,Methanocalculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,5.67E-06,s^-1,35,Celsius,7.63E-19,m^3,"engqvist, gold, methanogen","555, 12331, 18593"
Methanocalculus taiwanensis,Methanocalculus,Methanocalculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,6.36E-06,s^-1,37,Celsius,1.59E-18,m^3,"corkrey, engqvist, gold, methanogen","477, 555, 12331, 18594"
Methanocaldococcus fervens,Methanocaldococcus,Methanocaldococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,6.45E-06,s^-1,77,Celsius,3.53E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","555, 5067, 12331, 13239, 15015, 18595, 18701, 18707, 18718, 18723"
Methanocaldococcus indicus,Methanocaldococcus,Methanocaldococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,4.25E-06,s^-1,85,Celsius,8.38E-18,m^3,"engqvist, gold, methanogen","555, 12331, 18596"
Methanocaldococcus infernus,Methanocaldococcus,Methanocaldococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,3.46E-06,s^-1,82,Celsius,8.38E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","352, 555, 5066, 12331, 13240, 15160, 18597, 18701, 18707, 18718, 18723"
Methanocaldococcus jannaschii,Methanocaldococcus,Methanocaldococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,0.00039913,s^-1,86.2145,Celsius,1.77E-18,m^3,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.267
Methanocaldococcus villosus,Methanocaldococcus,Methanocaldococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,4.01E-06,s^-1,80,Celsius,3.53E-18,m^3,"engqvist, gold, methanogen, microbe-directory, patric, protraits","555, 12331, 18599, 18701, 18707, 18718"
Methanocaldococcus vulcanius,Methanocaldococcus,Methanocaldococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,0.00022032,s^-1,79.5092,Celsius,7.33E-18,m^3,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.267
Methanocella arvoryzae,Methanocella,Methanocellaceae,Methanocellales,Methanomicrobia,Euryarchaeota,Archaea,4.25E-06,s^-1,45,Celsius,4.43E-19,m^3,"engqvist, fierer, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","555, 2562, 4926, 12331, 13243, 14565, 18600, 18701, 18707, 18718, 18723"
Methanocella conradii,Methanocella,Methanocellaceae,Methanocellales,Methanomicrobia,Euryarchaeota,Archaea,3.21E-06,s^-1,54.375,Celsius,9.90E-20,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, rrndb","555, 5637, 12331, 13244, 15673, 18601, 18701, 18707, 18723"
Methanocella paludicola,Methanocella,Methanocellaceae,Methanocellales,Methanomicrobia,Euryarchaeota,Archaea,6.30E-07,s^-1,36.6,Celsius,3.10E-19,m^3,"corkrey, engqvist, fierer, genbank, gold, kegg, methanogen, microbe-directory, patric, protraits","435, 555, 2563, 5251, 12331, 15074, 18602, 18701, 18707, 18718"
Methanococcoides alaskense,Methanococcoides,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,3.53E-05,s^-1,23.6,Celsius,4.71E-18,m^3,"corkrey, engqvist, gold, methanogen","462, 555, 12331, 18603"
Methanococcoides methylutens,Methanococcoides,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,1.25E-05,s^-1,32.5,Celsius,3.14E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, patric, rrndb","438, 555, 7222, 12331, 13246, 17614, 18605, 18707, 18723"
Methanococcus aeolicus,Methanococcus,Methanococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,2.61E-05,s^-1,44.2,Celsius,5.61E-18,m^3,"corkrey, engqvist, fierer, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","369, 555, 2564, 4904, 12331, 13247, 14591, 18607, 18701, 18707, 18718, 18723"
Methanococcus maripaludis,Methanococcus,Methanococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,3.11E-05,s^-1,35.429,Celsius,1.97E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, mediadb, methanogen, microbe-directory, patric, protraits, rrndb","34, 555, 4493, 7854, 8027, 8622, 8772, 9077, 12331, 13248, 13249, 14214, 14530, 14592, 14654, 15495, 17416, 17417, 18560, 18608, 18701, 18707, 18718, 18723"
Methanococcus voltae,Methanococcus,Methanococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,2.32E-05,s^-1,38,Celsius,5.61E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","503, 555, 4530, 12331, 13251, 15176, 18610, 18701, 18707, 18718, 18723"
Methanocorpusculum aggregans,Methanocorpusculum,Methanocorpusculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,8.51E-06,s^-1,35,Celsius,2.05E-18,m^3,"gold, methanogen","12331, 18611"
Methanocorpusculum bavaricum,Methanocorpusculum,Methanocorpusculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,1.22E-05,s^-1,37,Celsius,1.05E-18,m^3,"corkrey, engqvist, gold, methanogen","412, 555, 12331, 18612"
Methanocorpusculum labreanum,Methanocorpusculum,Methanocorpusculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,6.30E-06,s^-1,37,Celsius,1.81E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","315, 555, 4892, 12331, 13252, 14511, 18613, 18701, 18707, 18718, 18723"
Methanocorpusculum parvum,Methanocorpusculum,Methanocorpusculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,7.41E-06,s^-1,37,Celsius,1.05E-18,m^3,"engqvist, gold, methanogen, patric","555, 12331, 18614, 18707"
Methanocorpusculum sinense,Methanocorpusculum,Methanocorpusculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,4.81E-06,s^-1,30,Celsius,1.05E-18,m^3,"engqvist, gold, methanogen","555, 12331, 18612"
Methanoculleus bourgensis,Methanoculleus,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,4.82E-06,s^-1,38.5,Celsius,3.53E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, protraits, rrndb","49, 555, 5948, 7340, 12331, 13253, 16081, 18615, 18701, 18718, 18723"
Methanoculleus chikugoensis,Methanoculleus,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,3.37E-06,s^-1,25,Celsius,3.53E-18,m^3,"corkrey, engqvist, gold, methanogen","26, 555, 12331, 18616"
Methanoculleus horonobensis,Methanoculleus,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,7.19E-06,s^-1,39.5,Celsius,2.11E-18,m^3,"engqvist, fierer, gold, methanogen","555, 2565, 12331, 18617"
Methanoculleus hydrogenitrophicus,Methanoculleus,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,2.65E-06,s^-1,37,Celsius,2.87E-18,m^3,"fierer, methanogen","2566, 18618"
Methanoculleus marisnigri,Methanoculleus,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,1.50E-05,s^-1,22.75,Celsius,2.30E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","353, 555, 4980, 12331, 13254, 14516, 18619, 18701, 18707, 18718, 18723"
Methanoculleus palmolei,Methanoculleus,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,3.45E-06,s^-1,40,Celsius,4.49E-18,m^3,"corkrey, engqvist, gold, methanogen","27, 555, 12331, 18620"
Methanoculleus receptaculi,Methanoculleus,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,2.67E-06,s^-1,52.5,Celsius,2.05E-18,m^3,"corkrey, engqvist, gold, methanogen","46, 555, 12331, 18621"
